17	640	39	656
115	293	206	308
116	254	161	275
119	462	173	475
120	525	173	545
121	564	184	580
122	496	209	511
123	429	174	445
123	630	173	644
123	696	297	716
124	664	222	679
124	720	199	748
124	764	151	777
125	791	322	818
128	832	180	846
136	418	160	426
148	553	173	561
151	384	198	409
152	759	309	783
153	584	276	611
160	288	187	293
174	249	354	279
176	531	217	544
176	629	252	644
177	461	211	475
177	787	201	796
184	822	274	848
186	653	210	662
187	519	212	528
190	425	360	448
198	557	351	583
207	284	378	309
210	386	301	411
212	493	359	516
213	722	361	752
216	447	376	482
218	784	242	793
222	519	294	548
225	118	284	139
232	663	286	682
254	628	307	649
261	414	285	424
264	340	499	368
270	586	294	600
272	383	296	391
286	111	531	137
291	821	333	844
297	522	375	549
298	584	461	613
298	651	417	677
302	690	466	715
306	182	444	200
312	757	472	782
317	380	358	405
319	618	536	649
332	722	359	727
335	796	389	815
336	829	393	843
348	561	401	574
355	256	424	274
363	729	454	747
365	490	469	508
366	479	395	489
366	717	393	726
371	383	512	406
377	249	405	253
377	527	431	540
385	424	490	445
385	457	439	469
387	281	629	303
391	751	415	759
393	518	420	523
399	826	589	852
401	334	442	343
405	795	488	808
436	516	647	547
438	244	579	272
440	659	593	680
444	448	525	472
460	728	512	741
470	683	593	713
476	591	650	612
476	614	503	623
477	490	521	507
480	582	503	590
483	749	534	773
503	412	649	441
508	782	652	808
519	725	652	740
520	383	646	402
527	489	572	503
530	455	650	477
532	855	570	870
538	759	589	775
543	624	583	638
549	246	577	251
551	752	578	757
575	478	650	507
585	624	651	646
589	827	648	841
591	752	653	773
596	691	652	711
599	659	652	672
612	684	639	689
628	647	652	656
