17	640	39	656
115	293	206	308
119	462	173	475
120	525	173	545
121	564	184	580
122	496	209	511
123	254	161	275
123	429	174	445
123	630	173	644
123	696	297	712
124	664	222	679
124	722	199	748
124	764	151	777
125	791	322	817
128	832	180	846
152	759	309	783
160	386	198	409
167	586	294	611
174	249	354	279
176	531	217	544
176	629	252	644
184	822	274	848
188	462	211	475
190	425	360	448
198	557	401	583
210	386	301	411
212	493	359	516
213	725	361	752
214	285	378	309
216	449	395	489
222	519	294	548
225	118	284	139
232	663	286	682
254	628	307	644
264	334	499	368
286	111	500	137
291	822	333	844
297	522	375	549
298	584	461	613
302	690	466	715
306	182	444	200
307	654	417	677
312	757	472	782
317	380	358	405
319	614	536	649
335	796	389	815
336	829	393	843
355	256	424	272
363	729	454	747
365	490	469	508
366	717	393	726
371	383	512	406
377	527	431	540
385	424	490	445
385	457	439	469
387	281	629	303
399	826	648	852
405	795	488	808
436	516	647	547
438	244	579	272
440	659	593	680
444	448	525	472
460	728	512	741
470	683	593	713
476	591	650	612
477	490	521	507
483	750	534	773
503	412	649	441
508	782	652	808
519	725	652	740
520	383	646	402
527	489	572	503
530	455	650	477
532	855	570	870
538	759	580	773
543	624	573	636
575	487	650	507
585	624	630	646
591	752	641	773
596	691	652	711
599	659	652	672
